No.,FREQUENCY(Hz),Rs,X
1,4,423.9803,-23.66383
2,4.29,423.3005,-22.51384
3,4.6,422.2277,-22.16864
4,4.94,421.6237,-21.49804
5,5.3,420.6744,-20.54717
6,5.68,419.8562,-19.99359
7,6.09,419.242,-19.5843
8,6.54,418.4123,-18.79432
9,7.01,417.8293,-18.12933
10,7.52,417.0671,-17.76119
11,8.07,416.2508,-17.07927
12,8.66,415.6281,-16.62808
13,9.29,415.0483,-16.24833
14,9.96,414.4737,-15.73638
15,10.69,413.9287,-15.37917
16,11.46,413.235,-14.78777
17,12.3,412.7625,-14.67226
18,13.19,412.2647,-14.09202
19,14.15,411.8275,-13.66378
20,15.18,411.1816,-13.46722
21,16.28,410.7715,-13.00777
22,17.47,410.3437,-12.74273
23,18.74,410.0251,-12.5345
24,20.1,409.34,-12.045
25,21.56,408.8982,-11.92568
26,23.13,408.4684,-11.59377
27,24.81,408.0795,-11.21147
28,26.62,407.7376,-10.94541
29,28.55,407.1687,-10.72086
30,30.63,406.8991,-10.57459
31,32.85,406.3719,-10.27075
32,35.24,405.9819,-10.20509
33,37.81,405.6059,-9.717524
34,40.56,405.369,-9.454293
35,43.5,404.9786,-9.558874
36,46.67,404.2073,-9.194297
37,50.06,404.0099,-9.663577
38,53.7,403.5873,-9.028291
39,57.61,403.5465,-8.93185
40,61.8,403.1784,-8.431437
41,66.29,403.1332,-8.359069
42,71.11,402.8007,-8.243401
43,76.28,402.3996,-8.137272
44,81.83,401.9404,-8.098221
45,87.78,401.8256,-7.906507
46,94.16,401.2903,-7.684076
47,101.01,401.0362,-7.692265
48,108.35,400.9829,-7.566319
49,116.23,400.6881,-7.458404
50,124.68,400.366,-7.380578
51,133.75,399.9593,-7.414509
52,143.47,399.5711,-7.328009
53,153.91,399.2841,-7.442999
54,165.1,399.1502,-7.189282
55,177.1,398.7091,-7.180461
56,189.98,398.5414,-7.167631
57,203.8,398.3884,-7.176291
58,218.61,398.03,-7.236011
59,234.51,397.8353,-6.916211
60,251.56,397.7732,-7.034615
61,269.86,397.2099,-7.129604
62,289.48,396.9082,-6.839625
63,310.53,396.754,-7.059128
64,333.11,396.4863,-7.028682
65,357.33,396.2935,-7.176824
66,383.31,395.8666,-7.174928
