No.,FREQUENCY(Hz),Rs,X
1,4.00E+00,3.35E+02,-2.28E+01
2,4.29E+00,3.35E+02,-2.14E+01
3,4.60E+00,3.35E+02,-1.98E+01
4,4.94E+00,3.35E+02,-1.87E+01
5,5.30E+00,3.35E+02,-1.76E+01
6,5.68E+00,3.35E+02,-1.66E+01
7,6.09E+00,3.35E+02,-1.56E+01
8,6.54E+00,3.35E+02,-1.47E+01
9,7.01E+00,3.35E+02,-1.38E+01
10,7.52E+00,3.35E+02,-1.32E+01
11,8.07E+00,3.35E+02,-1.24E+01
12,8.66E+00,3.35E+02,-1.17E+01
13,9.29E+00,3.35E+02,-1.12E+01
14,9.96E+00,3.35E+02,-1.04E+01
15,1.07E+01,3.34E+02,-9.92E+00
16,1.15E+01,3.34E+02,-9.51E+00
17,1.23E+01,3.34E+02,-8.98E+00
18,1.32E+01,3.34E+02,-8.44E+00
19,1.42E+01,3.34E+02,-8.10E+00
20,1.52E+01,3.34E+02,-7.72E+00
21,1.63E+01,3.34E+02,-7.31E+00
22,1.75E+01,3.34E+02,-7.04E+00
23,1.87E+01,3.34E+02,-6.75E+00
24,2.01E+01,3.33E+02,-6.40E+00
25,2.16E+01,3.33E+02,-6.07E+00
26,2.31E+01,3.33E+02,-5.76E+00
27,2.48E+01,3.33E+02,-5.54E+00
28,2.66E+01,3.33E+02,-5.29E+00
29,2.86E+01,3.33E+02,-5.01E+00
30,3.06E+01,3.33E+02,-4.82E+00
31,3.29E+01,3.33E+02,-4.62E+00
32,3.52E+01,3.32E+02,-4.52E+00
33,3.78E+01,3.32E+02,-4.31E+00
34,4.06E+01,3.32E+02,-4.03E+00
35,4.35E+01,3.32E+02,-3.93E+00
36,4.67E+01,3.32E+02,-3.83E+00
37,5.01E+01,3.32E+02,-3.67E+00
38,5.37E+01,3.32E+02,-3.51E+00
39,5.76E+01,3.32E+02,-3.27E+00
40,6.18E+01,3.32E+02,-3.24E+00
41,6.63E+01,3.32E+02,-3.11E+00
42,7.11E+01,3.32E+02,-3.05E+00
43,7.63E+01,3.31E+02,-2.87E+00
44,8.18E+01,3.31E+02,-2.80E+00
45,8.78E+01,3.31E+02,-2.62E+00
46,9.42E+01,3.31E+02,-2.62E+00
47,1.01E+02,3.31E+02,-2.47E+00
48,1.08E+02,3.31E+02,-2.40E+00
49,1.16E+02,3.31E+02,-2.35E+00
50,1.25E+02,3.31E+02,-2.31E+00
51,1.34E+02,3.31E+02,-2.15E+00
52,1.43E+02,3.31E+02,-2.13E+00
53,1.54E+02,3.31E+02,-2.06E+00
54,1.65E+02,3.31E+02,-2.00E+00
55,1.77E+02,3.31E+02,-1.98E+00
56,1.90E+02,3.31E+02,-1.94E+00
57,2.04E+02,3.30E+02,-1.80E+00
58,2.19E+02,3.30E+02,-1.84E+00
59,2.35E+02,3.30E+02,-1.80E+00
60,2.52E+02,3.30E+02,-1.72E+00
61,2.70E+02,3.30E+02,-1.70E+00
62,2.89E+02,3.30E+02,-1.67E+00
63,3.11E+02,3.30E+02,-1.60E+00
64,3.33E+02,3.30E+02,-1.62E+00
65,3.57E+02,3.30E+02,-1.60E+00
66,3.83E+02,3.30E+02,-1.60E+00
67,4.11E+02,3.30E+02,-1.48E+00
68,4.41E+02,3.30E+02,-1.49E+00
69,4.73E+02,3.30E+02,-1.45E+00
70,5.08E+02,3.30E+02,-1.51E+00
71,5.44E+02,3.30E+02,-1.52E+00
72,5.84E+02,3.30E+02,-1.48E+00
73,6.27E+02,3.30E+02,-1.47E+00
74,6.72E+02,3.30E+02,-1.48E+00
75,7.21E+02,3.30E+02,-1.54E+00
76,7.73E+02,3.30E+02,-1.51E+00
77,8.30E+02,3.30E+02,-1.50E+00
78,8.90E+02,3.30E+02,-1.56E+00
79,9.55E+02,3.30E+02,-1.56E+00
80,1.02E+03,3.30E+02,-1.60E+00
81,1.10E+03,3.30E+02,-1.64E+00
82,1.18E+03,3.30E+02,-1.69E+00
83,1.26E+03,3.29E+02,-1.69E+00
84,1.36E+03,3.29E+02,-1.71E+00
85,1.45E+03,3.29E+02,-1.77E+00
86,1.56E+03,3.29E+02,-1.85E+00
87,1.67E+03,3.29E+02,-1.93E+00
88,1.80E+03,3.29E+02,-2.04E+00
89,1.93E+03,3.29E+02,-2.08E+00
90,2.07E+03,3.29E+02,-2.17E+00
91,2.22E+03,3.29E+02,-2.25E+00
92,2.38E+03,3.29E+02,-2.46E+00
93,2.55E+03,3.29E+02,-2.47E+00
94,2.74E+03,3.29E+02,-2.64E+00
95,2.94E+03,3.29E+02,-2.73E+00
96,3.15E+03,3.29E+02,-2.94E+00
97,3.38E+03,3.29E+02,-3.14E+00
98,3.62E+03,3.29E+02,-3.26E+00
99,3.89E+03,3.29E+02,-3.47E+00
100,4.17E+03,3.29E+02,-3.66E+00
101,4.47E+03,3.29E+02,-3.83E+00
102,4.80E+03,3.29E+02,-4.19E+00
103,5.15E+03,3.29E+02,-4.38E+00
104,5.52E+03,3.29E+02,-4.59E+00
105,5.92E+03,3.29E+02,-4.79E+00
106,6.35E+03,3.29E+02,-5.25E+00
107,6.81E+03,3.29E+02,-5.49E+00
108,7.31E+03,3.29E+02,-5.93E+00
109,7.84E+03,3.29E+02,-6.19E+00
110,8.41E+03,3.28E+02,-6.67E+00
111,9.02E+03,3.28E+02,-7.07E+00
112,9.68E+03,3.28E+02,-7.51E+00
113,1.04E+04,3.28E+02,-7.96E+00
114,1.11E+04,3.28E+02,-8.43E+00
115,1.19E+04,3.28E+02,-9.02E+00
116,1.28E+04,3.28E+02,-9.63E+00
117,1.37E+04,3.28E+02,-1.02E+01
118,1.47E+04,3.28E+02,-1.09E+01
119,1.58E+04,3.28E+02,-1.17E+01
120,1.70E+04,3.28E+02,-1.24E+01
121,1.82E+04,3.27E+02,-1.33E+01
122,1.95E+04,3.27E+02,-1.41E+01
123,2.10E+04,3.27E+02,-1.50E+01
124,2.25E+04,3.27E+02,-1.60E+01
125,2.41E+04,3.27E+02,-1.71E+01
126,2.59E+04,3.26E+02,-1.82E+01
127,2.77E+04,3.26E+02,-1.94E+01
128,2.98E+04,3.26E+02,-2.07E+01
129,3.19E+04,3.25E+02,-2.21E+01
130,3.42E+04,3.25E+02,-2.35E+01
131,3.67E+04,3.25E+02,-2.51E+01
132,3.94E+04,3.24E+02,-2.67E+01
133,4.23E+04,3.24E+02,-2.85E+01
134,4.53E+04,3.23E+02,-3.04E+01
135,4.86E+04,3.23E+02,-3.23E+01
136,5.22E+04,3.22E+02,-3.44E+01
137,5.60E+04,3.21E+02,-3.66E+01
138,6.00E+04,3.20E+02,-3.90E+01
139,6.44E+04,3.19E+02,-4.15E+01
140,6.91E+04,3.18E+02,-4.42E+01
141,7.41E+04,3.17E+02,-4.70E+01
